month,active_customers_start,active_mrr_start,churned_customers,churned_mrr,customer_churn_rate,revenue_churn_rate,retention_rate
2022-01-01,0,0.0,0,0.0,,,
2022-02-01,52,30259.8,0,0.0,0.0,0.0,1.0
2022-03-01,106,47932.58,0,0.0,0.0,0.0,1.0
2022-04-01,176,80708.74,0,0.0,0.0,0.0,1.0
2022-05-01,239,117394.73,0,0.0,0.0,0.0,1.0
2022-06-01,300,143742.78,0,0.0,0.0,0.0,1.0
2022-07-01,383,171872.46,0,0.0,0.0,0.0,1.0
2022-08-01,467,206591.45,0,0.0,0.0,0.0,1.0
2022-09-01,542,227451.47,0,0.0,0.0,0.0,1.0
2022-10-01,619,258684.62,0,0.0,0.0,0.0,1.0
2022-11-01,696,288978.13,0,0.0,0.0,0.0,1.0
2022-12-01,757,310561.77,0,0.0,0.0,0.0,1.0
2023-01-01,819,334378.29,0,0.0,0.0,0.0,1.0
2023-02-01,899,360900.31,0,0.0,0.0,0.0,1.0
2023-03-01,955,386691.37,0,0.0,0.0,0.0,1.0
2023-04-01,1032,415564.24,0,0.0,0.0,0.0,1.0
2023-05-01,1102,444488.81,0,0.0,0.0,0.0,1.0
2023-06-01,1172,471085.57,0,0.0,0.0,0.0,1.0
2023-07-01,1231,493967.81,0,0.0,0.0,0.0,1.0
2023-08-01,1305,520836.99,0,0.0,0.0,0.0,1.0
2023-09-01,1370,542010.26,0,0.0,0.0,0.0,1.0
2023-10-01,1452,580538.9,0,0.0,0.0,0.0,1.0
2023-11-01,1521,606268.27,0,0.0,0.0,0.0,1.0
2023-12-01,1607,637169.25,0,0.0,0.0,0.0,1.0
2024-01-01,1689,672028.3,0,0.0,0.0,0.0,1.0
2024-02-01,1752,687890.39,0,0.0,0.0,0.0,1.0
2024-03-01,1818,716630.54,0,0.0,0.0,0.0,1.0
2024-04-01,1898,748107.08,0,0.0,0.0,0.0,1.0
2024-05-01,1964,774287.3,0,0.0,0.0,0.0,1.0
2024-06-01,2029,807442.3,0,0.0,0.0,0.0,1.0
2024-07-01,2091,827838.83,0,0.0,0.0,0.0,1.0
2024-08-01,2164,855811.29,1,33.91,0.000462,4e-05,0.999538
2024-09-01,2236,888817.48,0,0.0,0.0,0.0,1.0
2024-10-01,2300,906434.51,0,0.0,0.0,0.0,1.0
2024-11-01,2361,929058.92,0,0.0,0.0,0.0,1.0
2024-12-01,2409,944761.34,2,319.03,0.00083,0.000338,0.99917
2025-01-01,2469,985348.47,5,953.22,0.002025,0.000967,0.997975
2025-02-01,2541,1011619.34,3,784.86,0.001181,0.000776,0.998819
2025-03-01,2614,1037823.15,6,598.99,0.002295,0.000577,0.997705
2025-04-01,2685,1067531.0,7,884.62,0.002607,0.000829,0.997393
2025-05-01,2756,1090262.59,11,1947.41,0.003991,0.001786,0.996009
2025-06-01,2818,1127655.73,14,3655.91,0.004968,0.003242,0.995032
2025-07-01,2867,1151821.05,18,4503.3,0.006278,0.00391,0.993722
2025-08-01,2936,1184614.03,37,10539.41,0.012602,0.008897,0.987398
2025-09-01,2964,1202218.05,41,10190.88,0.013833,0.008477,0.986167
2025-10-01,2984,1217262.52,57,9994.25,0.019102,0.00821,0.980898
2025-11-01,2992,1234350.94,89,14491.77,0.029746,0.01174,0.970254
2025-12-01,2979,1251735.73,136,26354.76,0.045653,0.021055,0.954347
2026-01-01,2917,1242962.97,217,41127.8,0.074391,0.033089,0.925609
2026-02-01,2771,1220220.4,309,64887.84,0.111512,0.053177,0.888488
2026-03-01,2547,1197414.44,0,0.0,0.0,0.0,1.0
